itemid,num_patients,label,ratio,percent_patients,Include,Numerical,Categorical
813,10777,Hematocrit,1,0.59528281,1,1,0
829,10776,Potassium (3.5-5.3),0.99990721,0.595227574,1,1,0
861,10774,"WBC (4-11,000)",0.999721629,0.595117101,1,1,0
837,10774,Sodium (135-148),0.999721629,0.595117101,1,1,0
781,10774,BUN (6-20),0.999721629,0.595117101,1,1,0
811,10774,Glucose (70-105),0.999721629,0.595117101,1,1,0
828,10773,Platelets,0.999628839,0.595061865,1,1,0
788,10773,Chloride (100-112),0.999628839,0.595061865,1,1,0
791,10773,Creatinine (0-1.3),0.999628839,0.595061865,1,1,0
814,10772,Hemoglobin,0.999536049,0.595006628,1,1,0
833,10771,RBC,0.999443259,0.594951392,1,1,0
787,10768,Carbon Dioxide,0.999164888,0.594785683,1,1,0
821,10750,Magnesium (1.6-2.6),0.997494665,0.593791427,1,1,0
646,10621,SpO2,0.985524729,0.58666593,1,1,0
212,10619,Heart Rhythm,0.985339148,0.586555457,1,0,1
618,10619,Respiratory Rate,0.985339148,0.586555457,1,1,0
211,10619,Heart Rate,0.985339148,0.586555457,1,1,0
198,10617,GCS Total,0.985153568,0.586444985,1,1,0
184,10617,Eye Opening,0.985153568,0.586444985,1,1,0
454,10617,Motor Response,0.985153568,0.586444985,1,1,0
723,10617,Verbal Response,0.985153568,0.586444985,1,1,0
678,10583,Temperature F,0.981998701,0.584566947,1,1,0
677,10582,Temperature C (calc),0.981905911,0.58451171,1,1,0
827,10524,Phosphorous(2.7-4.5),0.976524079,0.581307998,1,1,0
128,10520,Code Status,0.976152918,0.581087053,1,0,1
786,10482,Calcium (8.4-10.2),0.972626891,0.578988069,1,1,0
455,10459,NBP [Systolic],0.970492716,0.577717631,1,1,0
456,10452,NBP Mean,0.969843185,0.577330977,1,1,0
8441,10434,NBP [Diastolic],0.968172961,0.576336721,1,1,0
1046,10395,Pain Present,0.964554143,0.574182501,1,0,1
69,10352,BSA,0.960564164,0.571807335,1,1,0
762,10352,Admit Wt,0.960564164,0.571807335,1,1,0
926,10352,Religion,0.960564164,0.571807335,1,0,1
925,10352,Marital Status,0.960564164,0.571807335,1,0,1
924,10352,Readmission,0.960564164,0.571807335,1,0,1
920,10352,Admit Ht,0.960564164,0.571807335,1,1,0
815,10322,INR (2-4 ref. range),0.957780458,0.570150243,1,1,0
1127,10245,"WBC   (4-11,000)",0.950635613,0.565897039,1,1,0
1125,9943,Service Type,0.922612972,0.549215643,1,0,1
